Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
6767111,MDG_0000000001,COUNTRY,LAO,WPR,YEAR,Western Pacific,SEX,2022,SEX_FMLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,32.0 [21.8-46.4],32.044193695,21.815211732,46.412995325,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6767418,MDG_0000000001,COUNTRY,GHA,AFR,YEAR,Africa,SEX,2000,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,67.9 [63.9-71.9],67.856585887,63.894272174,71.930907494,,2025-04-15T15:49:27.583+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
6767876,MDG_0000000001,GLOBAL,GLOBAL,,YEAR,,SEX,2007,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,43.6 [42.9-44.4],43.572760098,42.911789222,44.387599086,,2025-04-15T15:49:27.583+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
6767942,MDG_0000000001,COUNTRY,CYP,EUR,YEAR,Europe,SEX,2010,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,2.8 [2.5-3.1],2.77367433,2.488977509,3.090965744,"Some UN IGME indicators are calculated using population and live birth numbers from the World Population Prospects: The 2024 revision (WPP). The WPP numbers for Cyprus refer to the entire country. However, the underlying data used to calculate mortality rates estimates, provided by the Health Monitoring Unit of the Cyprus Ministry of Health, cover only the government-controlled areas, whereas according to Eurostat, the number of live births in 2023 was 10,295 (https://ec.europa.eu/eurostat/databrowser/view/tps00204/), the population on 1 January 2023 was 920,701 (https://ec.europa.eu/eurostat/databrowser/view/tps00001/), the population under 5 was 49,326,  adolescent population was 99,207 and the number of women of reproductive age was 235,268 (https://doi.org/10.2908/DEMO_PJAN).",2025-04-15T15:49:27.583+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
6768570,MDG_0000000001,COUNTRY,MEX,AMR,YEAR,Americas,SEX,1974,SEX_MLE,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,78.3 [71.6-85.6],78.331521169,71.568988414,85.640337948,,2025-04-15T15:49:27.583+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
6768582,MDG_0000000001,COUNTRY,WSM,WPR,YEAR,Western Pacific,SEX,1983,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,29.3 [24.7-34.4],29.274732974,24.692488005,34.354357459,,2025-04-15T15:49:27.583+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
6768649,MDG_0000000001,COUNTRY,TZA,AFR,YEAR,Africa,SEX,2001,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,80.4 [75.7-85.6],80.419113996,75.735997349,85.649564188,,2025-04-15T15:49:27.583+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
6769187,MDG_0000000001,COUNTRY,HND,AMR,YEAR,Americas,SEX,1983,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,61.5 [56.8-66.9],61.544604686,56.785528806,66.914560181,,2025-04-15T15:49:27.583+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
6769342,MDG_0000000001,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,SEX,1998,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,74.4 [68.5-81.1],74.432452938,68.530192123,81.050428312,,2025-04-15T15:49:27.583+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
6769695,MDG_0000000001,COUNTRY,TCD,AFR,YEAR,Africa,SEX,2022,SEX_BTSX,AGEGROUP,AGEGROUP_MONTHS0-11,,,,,60.3 [42.1-85.6],60.301338567,42.0752768,85.608034916,,2025-04-15T15:49:27.583+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
